Total processors available: 24

Testing SIMD SSE Multiplication vs C++ Multiplication
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
5000000,4.08004427,3.99134183
Normal C++ Data:
Array Size,Peak Speed,Average Speed
8000000,0.03593658,0.03686688
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
8000000,0.00905888,0.00932887
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
8000000,3.96699905,3.95191288
Normal C++ Data:
Array Size,Peak Speed,Average Speed
11000000,0.04927073,0.05242511
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
11000000,0.01225880,0.01235275
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
11000000,4.01921368,4.24400234
Normal C++ Data:
Array Size,Peak Speed,Average Speed
14000000,0.06284292,0.06538036
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
14000000,0.01625473,0.01737821
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
14000000,3.86613083,3.76220369
Normal C++ Data:
Array Size,Peak Speed,Average Speed
17000000,0.07635264,0.07950908
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
17000000,0.01939931,0.02121323
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
17000000,3.93584275,3.74808860
Normal C++ Data:
Array Size,Peak Speed,Average Speed
20000000,0.08940186,0.09705288
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
20000000,0.02181665,0.02190268
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
20000000,4.09787321,4.43109560
Normal C++ Data:
Array Size,Peak Speed,Average Speed
23000000,0.10332573,0.10665955
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
23000000,0.02649686,0.02863886
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
23000000,3.89954591,3.72429419
Normal C++ Data:
Array Size,Peak Speed,Average Speed
26000000,0.11671821,0.12021245
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
26000000,0.02932692,0.03108000
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
26000000,3.97990012,3.86783934
Normal C++ Data:
Array Size,Peak Speed,Average Speed
29000000,0.13048939,0.13474102
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
29000000,0.03414958,0.03558981
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
29000000,3.82111263,3.78594422
Normal C++ Data:
Array Size,Peak Speed,Average Speed
