Threads,Peak Performance (Mega Loops Per Second),Average Performance (Mega Loops Per Second)
1,388.558298,388.300403
Index,Sum
638,57979.500000
639,60115.589844
640,61786.703125
641,55908.828125
642,67187.554688
643,58973.640625
644,64767.308594
645,59371.984375
646,59019.941406
647,53343.179688
648,52060.992188
649,66781.484375
650,71339.109375
651,57732.621094
652,58941.234375
653,50362.652344
654,60505.722656
655,63438.125000
656,63410.574219
657,55345.078125
658,53361.027344
659,48984.214844
660,40357.109375
661,51916.187500
662,59766.417969
663,59285.554688
664,51021.355469
665,49501.824219
666,59742.406250
667,65644.921875
668,39486.824219
669,47702.144531
670,42687.406250
671,44661.699219
672,45955.761719
673,44657.949219
674,41356.960938
675,40164.664062
676,46898.265625
677,36002.515625
678,34226.121094
679,37435.113281
680,37248.476562
681,31770.148438
682,25034.705078
683,19278.789062
684,21607.666016
685,24189.187500
686,16366.269531
687,12740.177734
688,27159.947266
689,17518.933594
690,21163.177734
691,25445.130859
692,9966.795898
693,4502.794922
694,9331.098633
695,6229.390137
696,11823.110352
697,-477.211426
698,10195.903320
699,4938.594238
700,2339.209961
701,-363.520508
702,-4099.278320
703,-6350.550293
704,-1334.281372
705,-8821.111328
706,3049.775146
707,-6355.364746
708,-8493.037109
709,-10177.800781
710,-23256.564453
711,-16092.316406
712,-19659.275391
713,-22142.212891
714,-18699.595703
715,-25782.357422
716,-30862.964844
717,-30390.843750
718,-27463.375000
719,-33891.281250
720,-41141.394531
721,-32353.222656
722,-37627.218750
723,-38233.851562
724,-26819.707031
725,-39852.664062
726,-40523.171875
727,-32881.304688
728,-45631.562500
729,-44370.625000
730,-45270.910156
731,-48497.757812
732,-38872.445312
733,-49270.125000
734,-37716.355469
735,-68269.351562
736,-43182.582031
737,-44666.671875
738,-51717.394531
739,-56136.468750
740,-60141.488281
741,-52638.343750
742,-65721.851562
743,-48693.628906
744,-67629.382812
745,-52894.113281
746,-51948.554688
747,-63581.722656
748,-53608.937500
749,-51722.207031
750,-52902.605469
751,-67107.140625
752,-66894.460938
753,-64760.214844
754,-54385.453125
755,-58742.425781
756,-49912.968750
757,-52153.890625
758,-53780.285156
759,-61736.410156
760,-52511.710938
761,-66686.109375
762,-61077.941406
763,-59331.703125
764,-49186.730469
765,-49581.949219
766,-55726.046875
767,-63888.289062
768,-52860.109375
769,-45843.558594
770,-57805.335938
771,-53408.382812
772,-57829.007812
773,-50650.062500
774,-45063.484375
775,-55313.355469
776,-35448.179688
777,-59506.355469
778,-45687.667969
779,-47933.441406
780,-43775.660156
781,-42583.496094
782,-50150.050781
783,-32714.851562
784,-37900.101562
785,-40531.726562
786,-29570.292969
787,-37634.097656
788,-42054.464844
789,-34485.402344
790,-26649.191406
791,-39319.308594
792,-33573.949219
793,-23448.458984
794,-10068.832031
795,-36640.523438
796,-22670.927734
797,-24394.296875
798,-8126.012695
799,-6364.042480
800,-15455.371094
801,-14760.189453
802,-15629.907227
803,-7253.250977
804,-20713.144531
805,-10995.313477
806,-13747.765625
807,-6990.036621
808,6088.522949
809,-4735.572754
810,2395.423096
811,7649.679199
812,9591.789062
813,-4156.453613
814,6052.812012
815,11396.737305
816,4648.584961
817,15703.911133
818,29753.880859
819,12926.211914
820,27458.412109
821,16806.861328
822,19313.248047
823,25365.101562
824,30966.585938
825,23682.949219
826,34812.101562
827,31505.714844
828,45041.656250
829,40370.289062
830,25343.591797
831,31597.324219
832,32798.175781
833,35463.738281
834,46398.953125
835,42850.433594
836,37452.785156
837,30016.173828
838,54399.632812
839,46301.531250
840,42000.796875
841,59828.667969
842,48326.769531
843,45852.511719
844,49268.160156
845,53768.769531
846,46627.914062
847,40504.585938
848,62115.867188
849,51326.320312
850,59564.183594
851,55941.609375
852,46592.195312
853,62111.277344
854,45888.910156
855,63127.664062
856,49206.632812
857,56581.183594
858,71617.828125
859,57958.699219
860,64195.375000
861,65521.503906
862,64715.140625
863,64051.523438
864,57138.972656
865,49765.117188
866,43163.722656
867,55307.578125
868,63187.468750
869,64081.089844
870,65040.308594
871,53421.804688
872,54552.066406
873,58789.234375
874,51848.117188
875,60008.707031
876,54788.734375
877,45572.148438
878,44272.007812
879,50179.261719
880,54760.359375
881,54748.246094
882,39036.328125
883,50072.097656
884,46204.082031
885,45972.691406
886,42828.769531
887,43851.160156
888,36619.964844
889,34891.718750
890,36935.054688
891,31014.240234
892,47791.675781
893,41398.773438
894,31536.976562
895,23830.443359
896,33195.796875
897,35239.132812
898,37689.945312
899,27480.679688
900,16490.587891
901,27635.117188
902,26763.656250
903,10693.972656
904,23231.458984
905,27755.138672
906,14778.904297
907,14841.448242
908,13613.710938
909,11839.279297
910,15802.243164
911,13242.586914
912,6077.114258
913,8156.991699
914,-5012.103516
915,-9053.803711
916,959.249878
917,3154.670166
918,-9425.723633
919,-6959.930176
920,-9120.247070
921,-3046.621094
922,-12411.678711
923,-10546.909180
924,-15190.613281
925,-7170.784180
926,-13552.705078
927,-1570.102051
928,-5425.221191
929,-17075.046875
930,-19962.542969
931,-23870.375000
932,-27878.320312
933,-25341.580078
934,-32559.574219
935,-39029.722656
936,-35290.738281
937,-25899.671875
938,-33179.527344
939,-38431.976562
