Peak Performance (Mega Loops Per Second),Average Performance (Mega Loops Per Second)
1803.031855,1801.559212
Index,Sum
418,72.362000
419,24.250000
420,-6.325000
421,-15.989600
422,58.902401
423,-71.111595
424,44.177700
425,-42.672298
426,46.136200
427,-16.150801
428,-24.071400
429,73.613701
430,-19.882799
431,-14.943600
432,25.795498
433,28.057499
434,-64.112999
435,81.507996
436,-41.820000
437,-13.617001
438,10.760101
439,23.374002
440,11.020000
441,13.395000
442,17.554501
443,-0.871500
444,-2.621500
445,-33.255600
446,-29.392799
447,-9.201799
448,-3.127500
449,21.667500
450,44.586903
451,39.725399
452,-58.258198
453,24.240299
454,20.027700
455,-1.907400
456,1.706800
457,-30.722399
458,27.784800
459,25.877998
460,25.764000
461,10.938400
462,-1.258400
463,-4.128800
464,36.841599
465,1.577600
466,1.271600
467,-18.512999
468,13.414499
469,25.230101
470,32.305702
471,32.340401
472,13.980000
473,8.145000
474,36.489597
475,-8.064000
476,6.528000
477,-60.003201
478,35.296001
479,10.944000
480,3.591000
481,-0.577500
482,-0.632500
483,6.348000
484,44.767197
485,21.167099
486,-6.629400
487,-6.807200
488,19.162001
489,78.721504
490,52.848003
491,35.375999
492,30.806599
493,-18.266600
494,8.521500
495,12.421500
496,32.932899
497,-8.995800
498,17.521799
499,4.833600
500,-3.100800
501,-29.522202
502,31.944300
503,16.426498
504,16.896500
505,-22.792301
506,23.045900
507,27.989500
508,-12.204500
509,-5.959600
510,13.329200
511,31.196001
512,-7.436000
513,-6.320600
514,-30.817598
515,16.480000
516,5.140000
517,26.702301
518,74.392403
519,15.752000
520,-8.008000
521,-22.131201
522,48.214397
523,26.168999
524,32.604000
525,-77.162804
526,-1.015300
527,-0.754000
528,22.736002
529,-37.906403
530,-45.062199
531,-19.385599
532,-7.155200
533,-3.870000
534,-5.625000
535,-20.275000
536,-9.569799
537,1.274400
538,-2.538000
539,20.820999
540,18.428799
541,-3.182400
542,5.400900
543,-21.956598
544,11.693600
545,10.509200
546,30.800901
547,16.585100
548,9.481501
549,29.043001
550,18.440001
551,-4.340000
552,-17.685499
553,-61.613998
554,-17.312399
555,-11.793500
556,15.553000
557,-13.620200
558,13.981000
559,1.302000
560,-3.204600
561,-34.792801
562,33.196800
563,-25.480001
564,3.290000
565,-6.852600
566,-80.044197
567,-11.199599
568,7.497000
569,4.189500
570,-6.566400
571,-59.328003
572,-45.783504
573,-41.783001
574,26.225998
575,-14.675401
576,25.695103
577,-38.200703
578,13.724100
579,15.479099
580,32.060699
581,-5.016300
582,6.003000
583,7.134000
584,9.249599
585,66.664795
586,23.994598
587,-22.167601
588,2.238600
589,0.135300
590,-2.052600
591,65.558800
592,-77.996002
593,-15.688000
594,18.168398
595,99.840492
596,135.955490
597,59.166901
598,-29.710201
599,33.050400
600,-34.347599
601,-3.836700
602,-3.748500
603,-19.575499
604,0.197400
605,-0.034200
606,-1.077300
607,1.757700
608,4.836000
609,-13.207999
610,-6.426200
611,-20.821899
612,-17.036098
613,-19.457998
614,56.211998
615,-32.830200
616,-33.873299
617,-28.196901
618,29.476500
619,51.212997
620,36.127003
621,-14.378001
622,-26.480801
623,65.028801
624,-45.318401
625,55.888802
626,-24.786299
627,-0.440300
628,-1.300500
629,-80.095505
630,-14.553300
631,-6.088200
632,-38.062199
633,61.525196
634,-63.224403
635,84.656403
636,-72.901199
637,-44.678902
638,23.414301
639,9.067500
640,13.117500
641,-7.987100
642,-11.371000
643,4.067000
644,-1.710100
645,6.142400
646,-3.766400
647,-10.165001
648,37.904999
649,49.156799
650,0.924000
651,0.585000
652,9.867001
653,-0.253000
654,0.823000
655,78.184998
656,53.579998
657,47.037601
658,-35.528404
659,-1.491000
660,-2.562000
661,30.378002
662,-9.586500
663,15.315300
664,-70.079102
665,-35.832298
666,-0.881400
667,0.738400
668,4.345200
669,14.198400
670,66.537598
671,-18.211800
672,17.068800
673,2.889600
674,-3.878600
675,98.318001
676,-40.438999
677,-1.558200
678,-0.222600
679,3.243600
680,-28.519199
681,47.298996
682,-77.748993
683,-30.180399
684,-13.829400
685,-15.689699
686,-9.118799
687,-4.039200
688,-2.336400
689,-0.295000
690,2.285000
691,53.560402
692,40.668400
693,8.258600
694,7.401800
695,65.994194
696,83.712898
697,-36.609600
698,-54.612801
699,67.442101
700,-7.678200
701,7.249400
702,-23.912199
703,-2.961400
704,-5.607900
705,48.378601
706,12.889400
707,-2.185400
708,4.713800
709,-19.480501
710,21.951002
711,-1.138200
712,-1.541400
713,-15.927801
714,-18.228001
715,73.584000
716,-11.125200
717,5.473700
718,-48.228897
719,-36.031799
720,-28.110600
721,45.221397
722,1.709400
723,2.270400
724,-24.148800
725,22.744801
726,-58.125603
727,86.560501
728,-4.342500
729,-0.027000
730,0.389400
731,-29.594398
732,-31.327200
733,74.058594
734,80.634399
735,-48.769600
736,24.971600
737,-17.196699
738,44.810196
739,78.542595
740,45.095100
741,6.360300
742,-7.481400
743,-2.561200
744,4.001400
745,16.426800
746,7.503600
747,49.110100
748,-74.635101
749,-71.857300
750,67.433800
751,4.321800
752,-2.255400
753,-23.842798
754,-52.347599
755,-18.706800
756,-6.497400
757,-14.332500
758,-4.620000
759,-3.590400
760,-17.421600
761,5.294800
762,4.290400
763,2.041400
764,-3.097500
765,-53.655003
766,-75.525803
767,9.459200
768,5.952000
769,-39.153000
770,-18.608200
771,-16.088800
772,-35.235203
773,-42.108002
774,71.427002
775,-39.408001
776,-0.048000
777,-0.049600
778,-53.220798
779,93.243690
780,60.916901
781,39.326103
782,47.741104
783,81.440697
784,-51.486599
785,-21.466200
786,40.059601
787,-31.023600
788,4.882200
789,-13.414200
790,-7.641000
791,-1.404000
792,3.837600
793,23.640600
794,-47.473400
795,-19.611801
796,-14.768400
797,-21.092400
798,-33.849899
799,-30.685799
800,38.498596
801,48.310497
802,3.225000
803,0.260000
804,0.020800
805,-0.197200
806,1.922700
807,-2.839200
808,58.749599
809,-16.382099
810,-0.345100
811,-0.928200
812,24.952202
813,32.264202
814,13.343400
815,-12.776401
816,72.872803
817,57.888596
818,57.673798
819,110.084999
820,84.665001
821,21.228201
822,29.632099
823,-82.670097
824,-28.823400
825,-14.954400
826,16.740000
827,-29.969999
828,-12.720599
829,-6.016500
830,16.852501
831,21.614000
832,-32.360401
833,51.664501
834,-52.051495
835,-28.325699
836,27.974699
837,13.070800
838,12.611600
839,-53.137897
840,56.661999
841,32.472000
842,-15.008400
843,-18.267801
844,-7.085401
845,-7.761600
846,-20.697601
847,20.540800
848,-49.046394
849,65.613602
850,38.484901
851,43.096497
852,7.928500
853,3.030000
854,-14.640000
855,-31.280800
856,58.523300
857,33.050598
858,11.403000
859,-26.113501
860,68.392502
861,-12.127501
862,9.305100
863,31.270201
864,-40.359802
865,-40.441498
866,8.464499
867,-15.167700
868,-49.228500
869,-54.334503
870,-86.837296
871,-31.754599
872,-22.017000
873,6.519000
874,3.031600
875,23.566399
876,-53.889599
877,-46.172398
878,55.138599
879,68.025101
880,-8.884200
881,10.465200
882,-11.183400
883,-9.515699
884,29.420097
885,-23.354099
886,-13.582800
887,19.266800
888,106.950401
889,-56.576000
890,39.104000
891,-49.857601
892,0.198900
893,0.284700
894,-74.591400
895,65.945404
896,8.725600
897,7.134400
898,-43.904003
899,55.488003
900,-51.153000
901,-40.415001
902,-19.111500
903,-30.689999
904,15.620000
905,-11.487800
906,-41.178101
907,-21.683401
908,-50.438404
909,78.025604
910,70.051704
911,59.953197
912,6.768000
913,-5.892000
914,-25.433798
915,39.057198
916,-41.696201
917,10.894100
918,-2.344300
919,-2.760800
920,13.061600
921,27.192900
922,-56.269497
923,45.784500
924,17.449200
925,42.979202
926,88.668800
927,-45.983200
928,18.323000
929,-16.388500
930,-26.266499
931,-35.977501
932,71.893501
933,5.611200
934,1.262400
935,-19.961700
936,-61.706703
937,52.357201
938,20.930000
939,-6.435000
940,0.257400
941,-1.439100
942,-69.519600
943,43.206402
944,-17.612801
945,17.177599
946,44.688599
947,48.418198
948,-54.161499
949,37.100998
950,25.896000
951,-50.543999
952,102.448799
953,47.746201
954,24.869699
955,36.947697
956,-3.028500
957,-4.536000
958,-52.819199
959,-29.186800
960,40.995201
961,29.440001
962,42.080002
963,-46.077602
964,-13.928401
965,29.987402
966,-44.226704
967,18.431700
968,4.401600
969,-5.868800
970,-8.384000
971,-1.248000
972,3.439800
973,-31.046398
974,-50.476799
975,70.194298
976,76.166199
977,-33.842999
978,-34.712997
979,-16.917599
980,-19.546400
981,-14.198800
982,-9.748199
983,-64.186203
984,1.318200
985,-0.159900
986,-4.366500
987,25.630999
988,37.832798
989,37.256397
990,69.180298
991,47.774296
992,47.921600
993,21.764801
994,9.633600
995,-11.318400
996,-11.344600
997,-15.977700
998,-21.032999
999,-7.695000
1000,-14.013000
1001,-21.901798
1002,17.850599
1003,-23.434200
1004,26.896700
1005,97.779701
1006,-77.740395
1007,20.766800
1008,-25.501200
1009,-31.947598
1010,15.704199
1011,1.211600
1012,1.796600
1013,-44.154900
1014,63.324898
1015,72.243896
1016,46.947601
1017,36.901199
1018,13.752001
1019,22.872000
1020,95.014099
1021,90.427902
1022,-68.206398
1023,42.487999
1024,-35.595001
1025,-14.490000
1026,0.506000
1027,0.664400
1028,19.931999
1029,22.968000
1030,-38.767200
1031,24.062401
1032,-13.953601
1033,6.266200
1034,1.328900
1035,-12.823199
1036,72.165596
1037,80.492393
1038,-20.671200
1039,-22.195801
1040,64.905899
1041,-6.600600
1042,2.302800
1043,10.019200
1044,-11.259200
1045,10.487400
1046,46.015198
1047,-24.900000
1048,-19.049999
1049,-16.764000
1050,-18.634001
1051,19.735100
1052,12.279099
1053,-33.201000
1054,48.510002
1055,-86.778999
1056,48.122902
1057,-14.219100
1058,13.086900
1059,7.349100
1060,4.749800
1061,-4.699000
1062,4.828500
1063,-10.961999
1064,19.445999
1065,-24.168600
1066,30.641397
1067,39.446400
1068,38.908798
1069,-48.635998
1070,46.535999
1071,-33.960201
1072,53.760105
1073,-79.631607
1074,-52.936398
1075,50.079700
1076,-22.419899
1077,19.444498
1078,-8.120500
1079,8.469300
1080,-45.221401
1081,-44.755802
1082,-73.208801
1083,9.139200
1084,6.662400
1085,68.775398
1086,6.937000
1087,3.136000
1088,13.529600
1089,-13.982600
1090,21.899900
1091,33.251900
1092,8.436001
1093,-6.936000
1094,40.228802
1095,54.148800
1096,62.006599
1097,41.683098
1098,-39.591103
1099,-46.101303
1100,51.886803
1101,-70.204803
1102,-22.412800
1103,-20.128000
1104,-20.128000
1105,-10.553600
1106,-15.985600
1107,32.424400
1108,89.481895
1109,27.970200
1110,-4.206600
1111,-6.566400
1112,-29.222401
1113,-6.468500
1114,-6.876500
1115,32.845402
1116,24.928400
1117,-10.560800
1118,9.511600
1119,12.221301
1120,25.238201
1121,23.639399
1122,-16.580700
1123,5.446800
1124,0.027200
1125,0.250000
1126,37.187500
1127,-31.892000
1128,52.742401
1129,33.751202
1130,39.342102
1131,-4.129200
