Total processors available: 24
Threads,Static-1,Static-4096,Dynamic-1,Dynamic-4096
1269.830136, 270.677521, 270.412524, 268.861789, 
2531.977225, 472.454467, 535.512509, 472.710141, 
4947.869408, 751.095452, 1043.848029, 749.355952, 
61521.345522, 898.972167, 1565.004891, 930.700174, 
82014.631184, 1106.893970, 2055.260035, 1043.879924, 
101709.607015, 1117.062365, 2362.322735, 967.747377, 
121816.766907, 992.736016, 2254.550186, 932.487288, 
142115.863073, 1094.954431, 2915.501955, 969.463107, 
162293.570860, 1121.379096, 3214.289619, 1042.886074, 
